安心	/ān xīn/	Yên tâm
乐	/lè/	Vui vẻ
乐观	/lèguān/	Lạc quan
类	/lèi/	Loại, nhóm
类似	/lèisì/	Tương tự, giống
离婚	/líhūn/	Ly hôn
里面	/lǐmiàn/	Bên trong
理发	/lǐfà/	Cắt tóc
理解	/lǐjiě/	Hiểu
理论	/lǐlùn/	Lý luận
理由	/lǐyóu/	Lý do
力	/lì/	Sức lực, sức mạnh
力量	/lìliàng/	Sức mạnh
立刻	/lìkè/	Lập tức
利用	/lìyòng/	Tận dụng
连	/lián/	Thậm chí, ngay cả
连忙	/liánmáng/	Vội vàng, lập tức
连续	/liánxù/	Liên tục
连续剧	/liánxùjù/	Phim truyền hình dài tập
联合	/liánhé/	Liên hợp, liên minh
联合国	/Liánhéguó/	Liên hợp quốc
联系	/liánxì/	Liên lạc
凉水	/liángshuǐ/	Nước lạnh
了	/liǎo/	Rồi, xong, hiểu
领	/lǐng/	Nhận, lãnh
领导	/lǐngdǎo/	Lãnh đạo
领先	/lǐngxiān/	Dẫn đầu
另外	/lìngwài/	Ngoài ra, hơn nữa
另一方面	/lìng yì fāngmiàn/	Mặt khác
留学	/liúxué/	Du học
龙	/lóng/	Rồng
录	/lù/	Ghi âm, ghi lại
录音	/lùyīn/	Ghi âm
路线	/lùxiàn/	Tuyến đường, con đường
旅馆	/lǚguǎn/	Khách sạn
旅行社	/lǚxíngshè/	Công ty du lịch
绿茶	/lǜchá/	Trà xanh
乱	/luàn/	Lộn xộn
落后	/luòhòu/	Thụt lùi, lùi lại|lạc hậu, tụt hậu
麻烦	/máfan/	Làm phiền|phiền phức
马	/mǎ/	Con ngựa
满足	/mǎnzú/	Hài lòng, thỏa mãn
慢慢	/mànmàn/	Từ từ
毛	/máo/	Lông, sợi lông
毛病	/máobìng/	Lỗi, vấn đề
没用	/méiyòng/	Vô dụng
媒体	/méitǐ/	Truyền thông, phương tiện truyền thông
每	/měi/	Mỗi, từng
美	/měi/	Đẹp
美好	/měihǎo/	Tươi đẹp, tốt đẹp
美丽	/měilì/	Xinh đẹp
美食	/měishí/	Ẩm thực ngon, món ngon
美术	/měishù/	Mỹ thuật
美元	/měiyuán/	Đô la mỹ
迷	/mí/	Mê, thích|lạc đường, không nhận ra
米	/mǐ/	Gạo
面对	/miànduì/	Đối mặt
面积	/miànjī/	Diện tích
民间	/mínjiān/	Dân gian
民族	/mínzú/	Dân tộc
明确	/míngquè/	Rõ ràng
明显	/míngxiǎn/	Rõ rệt, dễ thấy
命运	/mìngyùn/	Số phận, vận mệnh
某	/mǒu/	Nào đó, một (không xác định)
母亲	/mǔqīn/	Mẹ, mẫu thân
木头	/mùtou/	Gỗ
目标	/mùbiāo/	Mục tiêu
目前	/mùqián/	Trước mắt, hiện tại
奶茶	/nǎichá/	Trà sữa
男子	/nánzǐ/	Nam giới
南部	/nánbù/	Miền nam
难道	/nándào/	Lẽ nào, chẳng lẽ
难度	/nándù/	Mức độ khó
内	/nèi/	Bên trong
内容	/nèiróng/	Nội dung
内心	/nèixīn/	Nội tâm
能不能	/néng bùnéng/	Có thể hay không
能力	/nénglì/	Năng lực
年初	/niánchū/	Đầu năm
年代	/niándài/	Thập niên
年底	/niándǐ/	Cuối năm
年纪	/niánjì/	Tuổi tác
念	/niàn/	Đọc, nhớ
